epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,682.035,2.70005,2.75907,3.21737,1.50533,0.27507,0.10256,0.08095,0.0254,0.11141,0.25641,0.06817,0.02597,3.28872,4.33003,4.02193,1.72308,0.0013961,0.0013961,0.0013961
63,691.115,2.46146,2.6227,2.12897,1.47344,0.27507,0.10256,0.08095,0.0254,0.11141,0.25641,0.06817,0.02597,3.28872,4.33003,4.02193,1.72308,0.0013862,0.0013862,0.0013862
64,700.334,2.42466,2.85724,2.11548,1.72237,0.27507,0.10256,0.08095,0.0254,0.11141,0.25641,0.06817,0.02597,3.28872,4.33003,4.02193,1.72308,0.0013763,0.0013763,0.0013763
65,709.273,2.53027,2.8206,2.38242,1.55602,0.27507,0.10256,0.08095,0.0254,0.11141,0.25641,0.06817,0.02597,3.28872,4.33003,4.02193,1.72308,0.0013664,0.0013664,0.0013664
66,718.766,2.45523,2.55285,2.14483,1.627,0.13938,0.15385,0.0719,0.02816,0.1713,0.17949,0.07078,0.02526,3.10369,4.43601,3.55351,1.70758,0.0013565,0.0013565,0.0013565
67,728.167,2.5464,3.38726,2.30588,1.57828,0.13938,0.15385,0.0719,0.02816,0.1713,0.17949,0.07078,0.02526,3.10369,4.43601,3.55351,1.70758,0.0013466,0.0013466,0.0013466
68,737.383,2.41595,2.76929,2.00246,1.56822,0.13938,0.15385,0.0719,0.02816,0.1713,0.17949,0.07078,0.02526,3.10369,4.43601,3.55351,1.70758,0.0013367,0.0013367,0.0013367
69,747.021,2.33421,2.69488,2.14306,1.57431,0.1352,0.15385,0.11604,0.04107,0.13086,0.17949,0.11595,0.04409,3.18579,4.26981,3.06047,1.79373,0.0013268,0.0013268,0.0013268
70,756.483,2.53559,2.72509,2.17511,1.56619,0.1352,0.15385,0.11604,0.04107,0.13086,0.17949,0.11595,0.04409,3.18579,4.26981,3.06047,1.79373,0.0013169,0.0013169,0.0013169
71,766.594,2.46581,2.65932,2.14269,1.53087,0.1352,0.15385,0.11604,0.04107,0.13086,0.17949,0.11595,0.04409,3.18579,4.26981,3.06047,1.79373,0.001307,0.001307,0.001307
72,776.678,2.51661,2.79838,2.10568,1.69946,0.08099,0.17949,0.08106,0.01741,0.08847,0.25641,0.08149,0.0219,3.35103,3.9629,3.36683,1.92433,0.0012971,0.0012971,0.0012971
73,786.722,2.39554,2.58131,2.00237,1.55005,0.08099,0.17949,0.08106,0.01741,0.08847,0.25641,0.08149,0.0219,3.35103,3.9629,3.36683,1.92433,0.0012872,0.0012872,0.0012872
74,796.51,2.47317,2.6141,2.08758,1.57539,0.08099,0.17949,0.08106,0.01741,0.08847,0.25641,0.08149,0.0219,3.35103,3.9629,3.36683,1.92433,0.0012773,0.0012773,0.0012773
75,805.995,2.4007,2.57492,2.17009,1.57953,0.63448,0.07692,0.10656,0.02293,0.63448,0.07692,0.1075,0.02396,3.15724,3.48484,3.55246,1.70752,0.0012674,0.0012674,0.0012674
76,815.54,2.40098,2.75783,2.45608,1.50905,0.63448,0.07692,0.10656,0.02293,0.63448,0.07692,0.1075,0.02396,3.15724,3.48484,3.55246,1.70752,0.0012575,0.0012575,0.0012575
