epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4264.6,1.2817,0.95382,1.27872,0.76323,0.91176,0.91499,0.48798,1.45537,1.19956,1.42685,0.0013565,0.0013565,0.0013565
67,4338.49,1.27762,0.96605,1.29877,0.81208,0.84739,0.89161,0.47904,1.50159,1.1891,1.45444,0.0013466,0.0013466,0.0013466
68,4400.03,1.22797,0.96149,1.23805,0.78469,0.8218,0.89189,0.51168,1.44387,1.14155,1.44924,0.0013367,0.0013367,0.0013367
69,4468.6,1.19623,0.91214,1.25795,0.82487,0.7451,0.87357,0.51732,1.36262,1.07907,1.41036,0.0013268,0.0013268,0.0013268
70,4530.47,1.20325,0.91316,1.25589,0.77864,0.86214,0.85559,0.50353,1.33718,1.03575,1.4444,0.0013169,0.0013169,0.0013169
71,4592.53,1.16464,0.96154,1.25117,0.74737,0.89912,0.9028,0.5591,1.26908,1.12837,1.40601,0.001307,0.001307,0.001307
72,4653.26,1.14171,0.88489,1.20033,0.77891,0.86347,0.91208,0.57188,1.31407,1.05469,1.43137,0.0012971,0.0012971,0.0012971
73,4717.39,1.16483,0.91025,1.25804,0.79105,0.84314,0.88868,0.54171,1.35744,1.02772,1.46088,0.0012872,0.0012872,0.0012872
74,4781.36,1.17363,0.87204,1.2366,0.8008,0.85294,0.88542,0.51591,1.41564,1.03092,1.51314,0.0012773,0.0012773,0.0012773
75,4845.52,1.1984,0.86301,1.23883,0.8145,0.86098,0.91191,0.52683,1.42811,1.00206,1.54422,0.0012674,0.0012674,0.0012674
76,4911.38,1.22049,0.88434,1.25062,0.74145,0.95593,0.91567,0.56627,1.34845,0.96017,1.53271,0.0012575,0.0012575,0.0012575
77,4977.29,1.15988,0.88049,1.20901,0.74545,0.95098,0.9119,0.56176,1.35085,0.94042,1.53417,0.0012476,0.0012476,0.0012476
78,5042.1,1.12089,0.84236,1.20502,0.7098,0.88235,0.88537,0.53869,1.30167,0.95478,1.44008,0.0012377,0.0012377,0.0012377
79,5097.3,1.19038,0.92581,1.25336,0.70594,0.89437,0.8623,0.50627,1.36229,1.02908,1.45888,0.0012278,0.0012278,0.0012278
80,5151.36,1.21295,0.88693,1.23699,0.8317,0.76471,0.89161,0.52099,1.41777,1.08262,1.49855,0.0012179,0.0012179,0.0012179
81,5203.62,1.15496,0.9001,1.20662,0.71411,0.9061,0.88901,0.51456,1.46845,1.00337,1.49575,0.001208,0.001208,0.001208
82,5255.15,1.16217,0.82652,1.25063,0.71863,0.89216,0.86739,0.53765,1.37191,0.96432,1.48391,0.0011981,0.0011981,0.0011981
83,5311.26,1.18821,0.85262,1.21025,0.74936,0.93799,0.89098,0.52367,1.377,0.92649,1.44083,0.0011882,0.0011882,0.0011882
84,5363.72,1.19156,0.84111,1.24655,0.73684,0.93334,0.90027,0.54357,1.36026,0.92537,1.43098,0.0011783,0.0011783,0.0011783
85,5417.41,1.20136,0.86647,1.2384,0.75645,0.94396,0.89798,0.53792,1.42235,1.04019,1.4401,0.0011684,0.0011684,0.0011684
86,5469.79,1.12024,0.87041,1.20832,0.75075,0.84314,0.88478,0.53109,1.39331,1.04541,1.49572,0.0011585,0.0011585,0.0011585
87,5523.87,1.15974,0.85128,1.2104,0.66741,0.88235,0.87677,0.52337,1.36184,1.07734,1.48599,0.0011486,0.0011486,0.0011486
88,5578.83,1.21923,0.8862,1.25253,0.78709,0.73529,0.85805,0.52478,1.28633,0.99728,1.42844,0.0011387,0.0011387,0.0011387
89,5634.18,1.14149,0.86019,1.21247,0.77986,0.76471,0.8555,0.51207,1.37658,1.03217,1.47979,0.0011288,0.0011288,0.0011288
90,5697.62,1.1523,0.83301,1.21689,0.77661,0.78391,0.87994,0.52592,1.38817,1.07592,1.48414,0.0011189,0.0011189,0.0011189
91,5756.66,1.23788,0.85911,1.27487,0.74481,0.80123,0.88697,0.52985,1.38103,1.0416,1.47429,0.001109,0.001109,0.001109
92,5816.17,1.22952,0.8865,1.27917,0.66918,0.88235,0.86145,0.49814,1.47714,1.09659,1.59908,0.0010991,0.0010991,0.0010991
93,5883.01,1.14354,0.83939,1.17779,0.71482,0.88467,0.8766,0.53095,1.39525,1.06903,1.52266,0.0010892,0.0010892,0.0010892
94,5947.04,1.14115,0.84045,1.19438,0.71959,0.91176,0.87792,0.53227,1.34638,0.98674,1.48876,0.0010793,0.0010793,0.0010793
95,6017.25,1.12807,0.82128,1.20579,0.74286,0.89216,0.88339,0.55037,1.39359,0.94575,1.56154,0.0010694,0.0010694,0.0010694
96,6081.1,1.14619,0.82995,1.22813,0.74909,0.89216,0.88763,0.54973,1.47954,0.93153,1.60341,0.0010595,0.0010595,0.0010595
97,6148.71,1.13525,0.80995,1.20175,0.77898,0.89216,0.90979,0.57958,1.34782,0.90229,1.49584,0.0010496,0.0010496,0.0010496
98,6218.23,1.10107,0.81559,1.16257,0.79072,0.85294,0.90273,0.55331,1.38727,1.00966,1.53697,0.0010397,0.0010397,0.0010397
99,6276.63,1.1073,0.80298,1.19058,0.77075,0.82353,0.89304,0.54518,1.38046,1.03623,1.52658,0.0010298,0.0010298,0.0010298
100,6333.28,1.112,0.79492,1.18987,0.78209,0.85294,0.90577,0.55183,1.35922,1.0502,1.51828,0.0010199,0.0010199,0.0010199
101,6396.7,1.10468,0.77347,1.19564,0.77506,0.88235,0.90759,0.56702,1.43136,0.99317,1.57632,0.00101,0.00101,0.00101
102,6452.31,1.08607,0.77891,1.17914,0.79785,0.87255,0.90333,0.55647,1.4236,0.91525,1.49669,0.0010001,0.0010001,0.0010001
103,6510.51,1.1036,0.81402,1.18929,0.80991,0.87255,0.90887,0.52814,1.45226,1.02468,1.45979,0.0009902,0.0009902,0.0009902
104,6578.72,1.05438,0.79182,1.1603,0.7438,0.88235,0.89802,0.55187,1.42133,1.02534,1.47309,0.0009803,0.0009803,0.0009803
105,6631.01,1.09943,0.83316,1.21051,0.74016,0.89216,0.90233,0.57104,1.34174,1.04366,1.48205,0.0009704,0.0009704,0.0009704
106,6685.69,1.10162,0.79886,1.1765,0.80045,0.79412,0.90178,0.56782,1.40207,1.04125,1.56028,0.0009605,0.0009605,0.0009605
107,6738.39,1.12162,0.78044,1.21132,0.71491,0.81373,0.85544,0.51857,1.47048,1.06506,1.68152,0.0009506,0.0009506,0.0009506
108,6793.65,1.13618,0.8078,1.2373,0.72643,0.79412,0.83948,0.50971,1.48916,1.03343,1.62558,0.0009407,0.0009407,0.0009407
109,6853.04,1.12834,0.82349,1.18792,0.76535,0.80392,0.86928,0.51311,1.43513,1.00732,1.56439,0.0009308,0.0009308,0.0009308
110,6909.95,1.06037,0.76751,1.16218,0.76922,0.88235,0.90519,0.52866,1.46179,0.93331,1.60273,0.0009209,0.0009209,0.0009209
111,6962.59,1.10866,0.75912,1.19832,0.76595,0.85294,0.89831,0.54463,1.46892,0.95201,1.59701,0.000911,0.000911,0.000911
112,7021.45,1.02895,0.745,1.16033,0.7766,0.87255,0.90524,0.5314,1.46669,0.9581,1.55439,0.0009011,0.0009011,0.0009011
113,7073.96,1.07627,0.76241,1.19112,0.78871,0.89216,0.90669,0.51746,1.50787,0.96287,1.5336,0.0008912,0.0008912,0.0008912
114,7130.9,1.02848,0.69984,1.16478,0.78923,0.90196,0.89625,0.49849,1.52465,0.95026,1.58299,0.0008813,0.0008813,0.0008813
115,7185.84,1.06729,0.75969,1.14926,0.7538,0.90052,0.90247,0.52361,1.5294,0.93007,1.63421,0.0008714,0.0008714,0.0008714
116,7245.78,1.11905,0.77121,1.20623,0.81093,0.86275,0.91478,0.54334,1.49687,0.9098,1.5981,0.0008615,0.0008615,0.0008615
117,7300.22,1.03825,0.74597,1.15879,0.82352,0.86275,0.90595,0.56063,1.46739,0.85612,1.58193,0.0008516,0.0008516,0.0008516
118,7359.42,1.04075,0.73843,1.15187,0.84429,0.85057,0.91542,0.54866,1.44656,0.88699,1.55797,0.0008417,0.0008417,0.0008417
119,7415.45,1.06834,0.73731,1.15887,0.77902,0.89216,0.91938,0.55291,1.39097,0.93398,1.52325,0.0008318,0.0008318,0.0008318
120,7471.85,1.06635,0.7477,1.16963,0.82014,0.83333,0.91693,0.54223,1.44897,0.9515,1.56846,0.0008219,0.0008219,0.0008219
121,7532.27,1.08684,0.75027,1.20331,0.77525,0.83333,0.89708,0.54971,1.35305,0.94466,1.4767,0.000812,0.000812,0.000812
122,7590.55,1.08213,0.74776,1.15907,0.73937,0.89216,0.89466,0.54913,1.44508,0.91836,1.50131,0.0008021,0.0008021,0.0008021
123,7643.77,1.07145,0.73363,1.17196,0.81668,0.78616,0.88686,0.5456,1.45715,0.94707,1.50026,0.0007922,0.0007922,0.0007922
124,7701.13,1.02556,0.70547,1.15042,0.80314,0.79996,0.89284,0.54766,1.41189,0.9181,1.50934,0.0007823,0.0007823,0.0007823
125,7760.15,1.02171,0.72352,1.1477,0.80419,0.80529,0.89093,0.54042,1.56052,1.01274,1.71296,0.0007724,0.0007724,0.0007724
126,7809,1.06206,0.74762,1.17612,0.80891,0.82353,0.89868,0.56994,1.44044,0.932,1.59318,0.0007625,0.0007625,0.0007625
127,7857.89,1.05296,0.73714,1.15059,0.7688,0.85294,0.8855,0.5563,1.36082,0.92597,1.50225,0.0007526,0.0007526,0.0007526
128,7906.54,1.01965,0.71829,1.14488,0.78969,0.84673,0.89076,0.5497,1.36285,0.9267,1.50682,0.0007427,0.0007427,0.0007427
129,7955.67,1.01448,0.70193,1.12845,0.81305,0.85277,0.89922,0.56603,1.41805,0.94382,1.59686,0.0007328,0.0007328,0.0007328
130,8004.82,0.99182,0.70462,1.11902,0.81317,0.83333,0.8975,0.53875,1.4814,0.90509,1.67006,0.0007229,0.0007229,0.0007229
131,8053.72,0.98191,0.67932,1.11788,0.74595,0.8924,0.8967,0.53367,1.43283,0.88967,1.63504,0.000713,0.000713,0.000713
132,8102.52,0.99258,0.69287,1.12664,0.79603,0.85294,0.90154,0.53272,1.47029,0.83579,1.71689,0.0007031,0.0007031,0.0007031
133,8151.11,1.00781,0.68046,1.11558,0.8268,0.82353,0.90342,0.55012,1.47205,0.86437,1.71721,0.0006932,0.0006932,0.0006932
134,8200.98,1.03066,0.70208,1.16845,0.86869,0.77835,0.90992,0.55428,1.36771,0.9027,1.58797,0.0006833,0.0006833,0.0006833
135,8249.59,0.98808,0.69617,1.13759,0.79241,0.85294,0.90703,0.55819,1.39242,0.91677,1.58889,0.0006734,0.0006734,0.0006734
136,8300.24,0.97476,0.65419,1.12121,0.7706,0.88235,0.90349,0.55866,1.36821,0.87385,1.55417,0.0006635,0.0006635,0.0006635
137,8348.23,0.98134,0.64745,1.11253,0.77696,0.88235,0.91421,0.57226,1.33445,0.85961,1.49922,0.0006536,0.0006536,0.0006536
138,8396.75,0.99646,0.69698,1.13375,0.77451,0.89216,0.91024,0.5535,1.42225,0.86556,1.61166,0.0006437,0.0006437,0.0006437
139,8445.15,0.97018,0.64733,1.11628,0.75454,0.91176,0.90605,0.56909,1.3218,0.82573,1.52704,0.0006338,0.0006338,0.0006338
140,8493.4,0.95481,0.67572,1.10418,0.74026,0.91176,0.89641,0.55691,1.35878,0.85,1.53051,0.0006239,0.0006239,0.0006239
141,8542.22,0.94953,0.66007,1.10118,0.74471,0.91176,0.89144,0.55377,1.34285,0.83833,1.57715,0.000614,0.000614,0.000614
142,8590.61,0.98096,0.67269,1.13886,0.8123,0.83333,0.89539,0.54982,1.35748,0.87584,1.56516,0.0006041,0.0006041,0.0006041
143,8641.63,0.94584,0.63344,1.0875,0.77264,0.89216,0.89781,0.56682,1.32853,0.85141,1.57182,0.0005942,0.0005942,0.0005942
144,8690.4,0.96178,0.67587,1.10555,0.8086,0.86979,0.90779,0.56676,1.3721,0.86758,1.63434,0.0005843,0.0005843,0.0005843
145,8738.59,0.95662,0.65704,1.12948,0.81759,0.85294,0.90397,0.55639,1.37459,0.84925,1.58954,0.0005744,0.0005744,0.0005744
146,8786.48,0.93314,0.65564,1.08697,0.75456,0.90421,0.89725,0.54254,1.36798,0.88949,1.50771,0.0005645,0.0005645,0.0005645
147,8834.95,0.96104,0.65359,1.12439,0.77437,0.90851,0.90949,0.55352,1.37091,0.85133,1.50741,0.0005546,0.0005546,0.0005546
148,8884.33,0.93795,0.67104,1.11505,0.81077,0.88211,0.92517,0.56966,1.42269,0.84414,1.57142,0.0005447,0.0005447,0.0005447
149,8933.49,0.93774,0.63505,1.06826,0.78489,0.87255,0.91534,0.57713,1.42852,0.85378,1.59299,0.0005348,0.0005348,0.0005348
150,8982.39,0.97317,0.64892,1.10264,0.78387,0.85336,0.90912,0.57738,1.40807,0.84654,1.54142,0.0005249,0.0005249,0.0005249
151,9030.8,0.95568,0.63646,1.10074,0.74034,0.92247,0.90197,0.5679,1.4431,0.83814,1.61357,0.000515,0.000515,0.000515
152,9079.18,0.96272,0.66303,1.11963,0.70366,0.94118,0.90334,0.56831,1.42627,0.81822,1.62976,0.0005051,0.0005051,0.0005051
153,9147.07,0.98089,0.6494,1.098,0.79502,0.84314,0.90806,0.57131,1.36577,0.82278,1.63036,0.0004952,0.0004952,0.0004952
154,9220.22,0.91619,0.61621,1.09947,0.76547,0.86395,0.89916,0.57149,1.37151,0.82617,1.63278,0.0004853,0.0004853,0.0004853
155,9281.25,0.95355,0.63983,1.08829,0.73032,0.92927,0.89474,0.53835,1.37933,0.83915,1.63494,0.0004754,0.0004754,0.0004754
156,9336.96,0.97118,0.66211,1.08971,0.74816,0.91176,0.90057,0.54699,1.384,0.85338,1.58491,0.0004655,0.0004655,0.0004655
157,9386.35,0.92403,0.63975,1.08179,0.7488,0.92157,0.90558,0.54855,1.43638,0.85268,1.59655,0.0004556,0.0004556,0.0004556
158,9441.9,0.92451,0.64688,1.10768,0.75821,0.89155,0.90428,0.56428,1.40691,0.83064,1.63283,0.0004457,0.0004457,0.0004457
159,9496.87,0.93827,0.64364,1.09597,0.80653,0.82353,0.90478,0.55413,1.41473,0.84577,1.62674,0.0004358,0.0004358,0.0004358
160,9554.38,0.9236,0.64167,1.08261,0.77994,0.86275,0.89053,0.55092,1.40346,0.87582,1.59289,0.0004259,0.0004259,0.0004259
161,9609.19,0.89739,0.62612,1.07064,0.79699,0.83333,0.88785,0.55626,1.39556,0.87094,1.57438,0.000416,0.000416,0.000416
162,9665.94,0.91315,0.64278,1.08897,0.80508,0.85294,0.89477,0.56446,1.40176,0.88322,1.60246,0.0004061,0.0004061,0.0004061
163,9721.12,0.9474,0.649,1.09625,0.75215,0.92231,0.90716,0.56882,1.36694,0.87712,1.55709,0.0003962,0.0003962,0.0003962
164,9771.78,0.9039,0.61628,1.07522,0.77036,0.91176,0.90336,0.55874,1.34951,0.88024,1.50589,0.0003863,0.0003863,0.0003863
165,9825.81,0.87193,0.60982,1.0651,0.77895,0.89216,0.89137,0.53629,1.41521,0.90458,1.55628,0.0003764,0.0003764,0.0003764
166,9879.58,0.89797,0.64019,1.06935,0.80513,0.87255,0.90257,0.5239,1.44139,0.90699,1.60281,0.0003665,0.0003665,0.0003665
167,9936.12,0.89029,0.57976,1.05412,0.80794,0.87255,0.90869,0.53626,1.48567,0.87564,1.69601,0.0003566,0.0003566,0.0003566
