epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,632.419,1.544,2.38922,1.2911,1.22281,0.81886,0.7234,0.82422,0.3964,0.78143,0.69149,0.67241,0.18374,1.62908,2.41906,1.5191,1.27198,0.0016139,0.0016139,0.0016139
41,649.834,1.68981,2.59605,1.26849,1.21297,0.85788,0.75532,0.84061,0.39512,0.76849,0.67021,0.64825,0.16123,1.62837,2.46533,1.43344,1.26283,0.001604,0.001604,0.001604
42,666.541,1.64032,2.42961,1.29133,1.21633,0.85788,0.75532,0.84061,0.39512,0.76849,0.67021,0.64825,0.16123,1.62837,2.46533,1.43344,1.26283,0.0015941,0.0015941,0.0015941
43,684.585,1.62039,2.5088,1.22781,1.23675,0.85788,0.75532,0.84061,0.39512,0.76849,0.67021,0.64825,0.16123,1.62837,2.46533,1.43344,1.26283,0.0015842,0.0015842,0.0015842
44,702.306,1.69195,2.61404,1.22658,1.1647,0.8522,0.78723,0.88272,0.46251,0.70403,0.64894,0.57787,0.14581,1.48812,2.42203,1.25335,1.20939,0.0015743,0.0015743,0.0015743
45,719.836,1.65188,2.45701,1.16959,1.19348,0.8522,0.78723,0.88272,0.46251,0.70403,0.64894,0.57787,0.14581,1.48812,2.42203,1.25335,1.20939,0.0015644,0.0015644,0.0015644
46,737.09,1.59729,2.45006,1.19949,1.23172,0.8522,0.78723,0.88272,0.46251,0.70403,0.64894,0.57787,0.14581,1.48812,2.42203,1.25335,1.20939,0.0015545,0.0015545,0.0015545
47,753.937,1.57983,2.43098,1.21253,1.19949,0.8634,0.7766,0.88909,0.47848,0.69944,0.62766,0.57622,0.16582,1.4516,2.34789,1.23995,1.17303,0.0015446,0.0015446,0.0015446
48,771.63,1.60739,2.4943,1.33816,1.21394,0.8634,0.7766,0.88909,0.47848,0.69944,0.62766,0.57622,0.16582,1.4516,2.34789,1.23995,1.17303,0.0015347,0.0015347,0.0015347
49,788.798,1.66619,2.48168,1.32291,1.20159,0.8037,0.78401,0.87631,0.45066,0.65461,0.61702,0.55962,0.16218,1.4974,2.35899,1.26628,1.2005,0.0015248,0.0015248,0.0015248
50,806.348,1.57432,2.39794,1.22627,1.19768,0.8037,0.78401,0.87631,0.45066,0.65461,0.61702,0.55962,0.16218,1.4974,2.35899,1.26628,1.2005,0.0015149,0.0015149,0.0015149
51,823.049,1.62661,2.48017,1.21236,1.19755,0.8037,0.78401,0.87631,0.45066,0.65461,0.61702,0.55962,0.16218,1.4974,2.35899,1.26628,1.2005,0.001505,0.001505,0.001505
52,839.655,1.54324,2.50929,1.26717,1.21321,0.84164,0.73503,0.86598,0.46329,0.70253,0.59574,0.58299,0.1673,1.49856,2.28903,1.21069,1.22019,0.0014951,0.0014951,0.0014951
53,856.715,1.60971,2.3705,1.21497,1.18872,0.84164,0.73503,0.86598,0.46329,0.70253,0.59574,0.58299,0.1673,1.49856,2.28903,1.21069,1.22019,0.0014852,0.0014852,0.0014852
54,875.051,1.63256,2.41895,1.21917,1.18055,0.84164,0.73503,0.86598,0.46329,0.70253,0.59574,0.58299,0.1673,1.49856,2.28903,1.21069,1.22019,0.0014753,0.0014753,0.0014753
55,891.165,1.56361,2.38179,1.11804,1.15331,0.85223,0.79758,0.90235,0.49231,0.66625,0.70213,0.68229,0.20639,1.49411,2.18579,1.17111,1.21007,0.0014654,0.0014654,0.0014654
56,904.759,1.50315,2.29901,1.16662,1.1762,0.85223,0.79758,0.90235,0.49231,0.66625,0.70213,0.68229,0.20639,1.49411,2.18579,1.17111,1.21007,0.0014555,0.0014555,0.0014555
57,919.979,1.57955,2.39508,1.15975,1.16216,0.95149,0.73404,0.89957,0.49921,0.7998,0.61702,0.65709,0.21705,1.47716,2.19522,1.13672,1.1829,0.0014456,0.0014456,0.0014456
58,934.942,1.64571,2.3823,1.19815,1.18748,0.95149,0.73404,0.89957,0.49921,0.7998,0.61702,0.65709,0.21705,1.47716,2.19522,1.13672,1.1829,0.0014357,0.0014357,0.0014357
59,949.528,1.48954,2.39867,1.16252,1.18887,0.95149,0.73404,0.89957,0.49921,0.7998,0.61702,0.65709,0.21705,1.47716,2.19522,1.13672,1.1829,0.0014258,0.0014258,0.0014258
60,964.165,1.54861,2.30625,1.20208,1.202,0.85979,0.76596,0.87694,0.49985,0.69975,0.73404,0.68367,0.17455,1.5097,2.37078,1.13143,1.20363,0.0014159,0.0014159,0.0014159
61,978.711,1.6288,2.35392,1.13333,1.1689,0.85979,0.76596,0.87694,0.49985,0.69975,0.73404,0.68367,0.17455,1.5097,2.37078,1.13143,1.20363,0.001406,0.001406,0.001406
